beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,T,Shift,dV_dF,dV_dK,dV_dBeta,dV_dRho,dV_dVolvol,dV_dVatm,volatility,d2V_dF2,d2V_dK2
0.25,-0.25,0.15,0.005,0.008708448274576631,0.108,0.11957142857142858,0.10178269430994238,1.0,0.0,-0.004332244905535048,0.0037591233184463544,0.00025589666670378097,0.0009023554334297579,-0.000122704812456631,0.9927183009655893,0.00494513398132408,7.2754576235690545,1.4618688155128496
0.25,-0.25,0.15,0.005,0.008708448274576631,0.108,0.12728571428571428,0.16430305129127634,1.0,0.0,-0.015183308764072843,0.01429594846605298,0.0004057815056190961,0.00146089559460022,0.0012034381277961637,0.9672150037484673,0.005015891491338501,6.895763776332361,1.2396118449905624
0.25,-0.25,0.15,0.005,0.008708448274576631,0.108,0.135,0.22314355131420976,1.0,0.0,-0.023775423823632114,0.02263272243872798,0.0005372579065660021,0.0019258095465546354,0.0032618964673422624,0.9344622515020107,0.0051599315933788924,6.376640637366565,0.9186181764966893
0.25,-0.25,0.15,0.005,0.0074096069951188745,0.20600000000000002,0.15450000000000003,-0.2876820724517808,1.0,0.0,0.04076437396747029,-0.03987840380303616,-0.0006128197680213554,-0.0020580651254389903,0.014953485029216285,0.8993775307830632,0.006733186460437411,0.034235811837368645,0.0006540573007736098
0.25,-0.25,0.15,0.005,0.0074096069951188745,0.20600000000000002,0.16921428571428573,-0.19671029424605413,1.0,0.0,0.039610312720620766,-0.0390217593021353,-0.0004374587801378449,-0.0017470200694078009,0.010409795513435793,0.9187185729189751,0.006150325729821041,0.1629011464739272,0.13401127167533086
0.25,-0.25,0.15,0.005,0.0074096069951188745,0.20600000000000002,0.18392857142857144,-0.11332868530700324,1.0,0.0,0.03543179334999924,-0.03509327053332342,-0.0002652361342711518,-0.0012746430681775944,0.005646000373824012,0.9510469274956468,0.0055995663777477145,0.4677327272157278,0.44063264782693423
0.25,-0.25,0.15,0.005,0.0074096069951188745,0.20600000000000002,0.19864285714285718,-0.03636764417087472,1.0,0.0,0.02468697117516432,-0.024576469157192013,-8.958404417586108e-05,-0.0005146584634158069,0.0013610923473364456,0.9892397723892943,0.005149789047216692,1.061105774051936,1.0334971148238463
0.25,-0.25,0.15,0.005,0.0074096069951188745,0.20600000000000002,0.21335714285714286,0.03509131981126998,1.0,0.0,0.00491017101321016,-0.00501527047129033,8.781008385694289e-05,0.0005727886429052198,-0.0003919368241414589,0.996283924456498,0.00492286096754919,1.5507289815529306,1.5237855246230023
0.25,-0.25,0.15,0.005,0.0074096069951188745,0.20600000000000002,0.2280714285714286,0.10178269430994238,1.0,0.0,-0.01603096653536274,0.01574644473386489,0.00024338904069248768,0.0016385665749588108,0.0019323586697775341,0.9439034803770951,0.005008450772497358,1.1951875207105263,1.173266498467536
0.25,-0.25,0.15,0.005,0.0074096069951188745,0.20600000000000002,0.2427857142857143,0.16430305129127634,1.0,0.0,-0.028900398630501572,0.028483968690661488,0.0003688616868544048,0.0023645983469877674,0.006434334520917517,0.8765001441660147,0.005344539266722267,0.6062906785264872,0.5884443624604666
0.25,-0.25,0.15,0.005,0.0074096069951188745,0.20600000000000002,0.2575,0.22314355131420976,1.0,0.0,-0.034903523761394654,0.034384753708016746,0.000480671060246185,0.0028257602724748865,0.011129072501232795,0.8298158771236075,0.005813060933646853,0.2704526938698877,0.25450677687702716
0.25,-0.25,0.15,0.005,0.006722535455506329,0.30400000000000005,0.22800000000000004,-0.2876820724517809,1.0,0.0,0.041243828208321384,-0.040625369121685725,-0.0006106325072322005,-0.0024336120705431563,0.021905907912275757,0.9040976066757023,0.007795958518714658,0.5895443166956107,-0.05269175839811053
0.25,-0.25,0.15,0.005,0.006722535455506329,0.30400000000000005,0.24971428571428575,-0.19671029424605427,1.0,0.0,0.041671363982032264,-0.041271606496111765,-0.00043058422018876774,-0.0021220377755329367,0.015796743174818773,0.9085384227933146,0.006904603434035064,0.6463072559199211,0.0044649696995387985
0.25,-0.25,0.15,0.005,0.006722535455506329,0.30400000000000005,0.27142857142857146,-0.11332868530700324,1.0,0.0,0.039659453190329014,-0.03943312770340002,-0.00025991563068483714,-0.001638290702751788,0.009050026564955127,0.9335041748284589,0.006020624659328239,0.8645742722229239,0.2073470281282926
0.25,-0.25,0.15,0.005,0.006722535455506329,0.30400000000000005,0.2931428571428572,-0.03636764417087483,1.0,0.0,0.028985388961658032,-0.028910681895251283,-8.902654394932208e-05,-0.0007286533269118545,0.002250390493743759,0.9832323212555227,0.0052526030422138156,1.5635805863016583,0.8718257412106548
