beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,T,Shift,volatility_scaled,dV_dbeta_scaled,dV_drho_scaled,dV_dvolvol_scaled,dV_dvatm_scaled,dV_dF_scaled,dV_dK_scaled
-1.0,-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.42568542568542556,0.029146345659516876,1.0,0.0,0.003169558702109351,-0.2182659544430822,-0.16980569663861667,-0.9431746428567134,-0.17774868760199158,0.828342045543853,-0.7851185184191205
-1.0,-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.36623376623376613,0.30415339315938617,1.0,0.0,0.018182242711428896,-0.1634897484991118,-0.06711950746040188,-0.7611542696314255,-0.5764050958531692,0.7777136357455211,-0.7218939060449352
-1.0,-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.3067821067821066,0.555215157327104,1.0,0.0,0.04434112359822585,-0.11759525943002117,-0.013817423643554871,-0.5552061740438599,-0.8228614504051359,0.7608131977172959,-0.7010008876435401
-1.0,-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.24733044733044718,0.7861695921669759,1.0,0.0,0.07376042986339204,-0.07096776549680689,0.02086212119171449,-0.37223870562015715,-0.9039844250321232,0.7563641239975325,-0.695726577921864
-1.0,-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.18787878787878776,1.0,1.0,0.0,0.10385845206396262,-0.021229807707572573,0.04860460172654918,-0.20721555558203086,-0.8976626867319859,0.7557840693105043,-0.6952797867619023
-1.0,-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,-0.4060606060606059,-0.9999999999999996,1.0,0.0,0.1063320140420853,-0.433023503455335,-0.46927767798899334,-0.3007131131830878,-0.465755956861611,0.9345153704795266,-0.9166684331397899
-1.0,-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,-0.3183261183261181,-0.6147098441152078,1.0,0.0,0.05821839650208728,-0.35977652592224246,-0.42556384307128636,-0.5805592863908734,-0.41112635286799604,0.9344022281495609,-0.9173986476609818
-1.0,-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,-0.23059163059163046,-0.2748598412305834,1.0,0.0,0.014876338525175494,-0.28948981163314025,-0.3263779695245582,-0.8856696914299969,-0.14834679263443018,0.9071122813710596,-0.8836526463485347
-1.0,-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,-0.1428571428571428,0.029146345659516293,1.0,0.0,0.0052201744632201065,-0.21991311421946153,-0.12989586419462057,-0.8974364410421187,-0.3163183273983119,0.8093622724583186,-0.7609918410421306
-1.0,-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,-0.05512265512265502,0.30415339315938617,1.0,0.0,0.0371952831074826,-0.17024717606554876,-0.02383678635251113,-0.5944079975758937,-0.8241996038566497,0.7643935705939284,-0.7046554113777035
-1.0,-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,0.03261183261183276,0.5552151573271036,1.0,0.0,0.08005666933887161,-0.12218235344883804,0.02636008430887382,-0.32493042792413707,-0.9540332795844995,0.7575792675300685,-0.6963377410903814
-1.0,-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,0.12034632034632042,0.7861695921669755,1.0,0.0,0.1240406051096642,-0.06896208770848111,0.06360239414343899,-0.0911330370851593,-0.9150527373887347,0.7578181809983049,-0.6968769640798067
-1.0,-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,0.2080808080808083,0.9999999999999993,1.0,0.0,0.16735604367824938,-0.010208540601606308,0.09612482722181276,0.1227909865553104,-0.8109130685517338,0.7594214915133575,-0.6991028717250214
-1.0,-1.0,-1.0,-1.0,-0.989329135261139,0.6000000000000001,-0.2080808080808081,-1.0,1.0,0.0,0.14385889632122542,-0.435196743856729,-0.4929598071691954,-0.11140935012779707,-0.39136512345471797,0.9330599292931745,-0.9152041393710271
-1.0,-1.0,-1.0,-1.0,-0.989329135261139,0.6000000000000001,-0.09206349206349207,-0.6147098441152081,1.0,0.0,0.08005924051535879,-0.3590115948341792,-0.4482795249448383,-0.4548258170034919,-0.4305330447346858,0.936529030702846,-0.9202905661322706
-1.0,-1.0,-1.0,-1.0,-0.989329135261139,0.6000000000000001,0.02395382395382395,-0.2748598412305837,1.0,0.0,0.01895643321797253,-0.2893137586632388,-0.3425528330283544,-0.8561647444710025,-0.17622818465110646,0.9144156053471187,-0.8929128659370211
