rho,volvol,v_atm_n,alpha,F,K,log_moneyness,beta,T,Shift,y_scaled
-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.5238866396761133,-0.9999999999999989,0.25,1.0,0.0,0.08525309607912346
-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.47622903412377093,-0.6438245304334964,0.25,1.0,0.0,0.059021272414557055
-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.4285714285714286,-0.31736632215360794,0.25,1.0,0.0,0.03423418101122929
-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.38091382301908605,-0.016046115979360204,0.25,1.0,0.0,0.013991816063547166
-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.33325621746674383,0.263732190579827,0.25,1.0,0.0,0.0037788491270345473
-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.2855986119144014,0.5248442859637645,0.25,1.0,0.0,0.0076308442142841455
-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.23794100636205895,0.7696258868568887,0.25,1.0,0.0,0.022756608660405613
-1.0,-1.0,-1.0,-0.9548930432102767,-0.19999999999999996,-0.19028340080971662,1.0,0.25,1.0,0.0,0.043842568143038274
-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,-0.2858299595141699,-0.9999999999999993,0.25,1.0,0.0,0.13308347435641085
-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,-0.2155002891844996,-0.643824530433497,0.25,1.0,0.0,0.09296776887887132
-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,-0.1451706188548293,-0.31736632215360794,0.25,1.0,0.0,0.05318403646511372
-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,-0.07484094852515888,-0.016046115979360648,0.25,1.0,0.0,0.01861899103922638
-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,-0.004511278195488577,0.263732190579827,0.25,1.0,0.0,0.0029515900406199996
-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,0.06581839213418172,0.5248442859637645,0.25,1.0,0.0,0.016448148787347825
-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,0.13614806246385203,0.7696258868568887,0.25,1.0,0.0,0.0465530306202505
-1.0,-1.0,-1.0,-0.9756342623037478,0.20000000000000018,0.20647773279352233,1.0,0.25,1.0,0.0,0.08192187913922648
-1.0,-1.0,-1.0,-0.989329135261139,0.6000000000000001,-0.04777327935222675,-1.0,0.25,1.0,0.0,0.18005152927818943
-1.0,-1.0,-1.0,-0.989329135261139,0.6000000000000001,0.045228455754771524,-0.643824530433497,0.25,1.0,0.0,0.1272036959377708
-1.0,-1.0,-1.0,-0.989329135261139,0.6000000000000001,0.1382301908617698,-0.31736632215360794,0.25,1.0,0.0,0.07321311601207557
-1.0,-1.0,-1.0,-0.989329135261139,0.6000000000000001,0.23123192596876807,-0.016046115979360648,0.25,1.0,0.0,0.02372557330715617
-1.0,-1.0,-1.0,-0.989329135261139,0.6000000000000001,0.32423366107576634,0.263732190579827,0.25,1.0,0.0,0.0029749026074559846
-1.0,-1.0,-1.0,-0.989329135261139,0.6000000000000001,0.4172353961827646,0.5248442859637645,0.25,1.0,0.0,0.029129163254752077
-1.0,-1.0,-1.0,-0.989329135261139,0.6000000000000001,0.5102371312897631,0.7696258868568887,0.25,1.0,0.0,0.0738279237450519
-1.0,-1.0,-1.0,-0.989329135261139,0.6000000000000001,0.6032388663967612,1.0,0.25,1.0,0.0,0.12194369263576685
-1.0,-1.0,-1.0,-0.9993751150332261,1.0,0.1902834008097165,-0.9999999999999993,0.25,1.0,0.0,0.22579757923693108
-1.0,-1.0,-1.0,-0.9993751150332261,1.0,0.30595720069404275,-0.643824530433497,0.25,1.0,0.0,0.16106391274092904
-1.0,-1.0,-1.0,-0.9993751150332261,1.0,0.4216310005783688,-0.31736632215360794,0.25,1.0,0.0,0.09368350920672035
-1.0,-1.0,-1.0,-0.9993751150332261,1.0,0.5373048004626952,-0.016046115979360648,0.25,1.0,0.0,0.029227615186195117
-1.0,-1.0,-1.0,-0.9993751150332261,1.0,0.652978600347021,0.263732190579827,0.25,1.0,0.0,0.0038175690829309757
-1.0,-1.0,-1.0,-0.9993751150332261,1.0,0.7686524002313477,0.5248442859637645,0.25,1.0,0.0,0.044038002717918606
-1.0,-1.0,-1.0,-0.9993751150332261,1.0,0.8843262001156738,0.7696258868568887,0.25,1.0,0.0,0.10227950216996638
-1.0,-1.0,-1.0,-0.9993751150332261,1.0,1.0,1.0,0.25,1.0,0.0,0.16201699523869562
-1.0,-1.0,-0.5999999999999999,-0.40503234935136456,-1.0,-1.0,-0.9999999999999993,0.25,1.0,0.0,0.1309777304053376
-1.0,-1.0,-0.5999999999999999,-0.40503234935136456,-1.0,-0.9976865240023135,-0.643824530433497,0.25,1.0,0.0,0.13444531065822
-1.0,-1.0,-0.5999999999999999,-0.40503234935136456,-1.0,-0.995373048004627,-0.31736632215360794,0.25,1.0,0.0,0.13770476906398438
-1.0,-1.0,-0.5999999999999999,-0.40503234935136456,-1.0,-0.9930595720069404,-0.016046115979360204,0.25,1.0,0.0,0.14078548980316768
-1.0,-1.0,-0.5999999999999999,-0.40503234935136456,-1.0,-0.9907460960092539,0.263732190579827,0.25,1.0,0.0,0.14371113771294702
-1.0,-1.0,-0.5999999999999999,-0.40503234935136456,-1.0,-0.9884326200115674,0.5248442859637645,0.25,1.0,0.0,0.14650107214464797
-1.0,-1.0,-0.5999999999999999,-0.40503234935136456,-1.0,-0.9861191440138809,0.7696258868568887,0.25,1.0,0.0,0.1491713452050437
