beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,volatility_scaled,dV_dbeta_scaled,dV_drho_scaled,dV_dvolvol_scaled,dV_dvatm_scaled,dV_dF_scaled,dV_dK_scaled,T,Shift
0.68709456146135,-0.3186598442389011,-0.3880265035239625,-0.27896737239001546,-0.9368409719356232,-0.3045015338659973,-0.6737318831570392,-0.8406245787768108,0.04145905344833866,0.9347075490658694,-0.9895172796833983,0.7675688762950978,-0.6844526079138291,0.9669906738742479,0.9584126110685596,1.0,0.0
0.68709456146135,-0.3186598442389011,-0.3880265035239625,-0.27896737239001546,-0.9368409719356232,-0.3045015338659973,-0.6356369412033356,-0.6454127345588516,0.04104465545529429,0.9347075490658694,-0.9895172796833983,0.7675688762950978,-0.6844526079138291,0.9669906738742479,0.9603237939362701,1.0,0.0
0.68709456146135,-0.3186598442389011,-0.3880265035239625,-0.27896737239001546,-0.9368409719356232,-0.3045015338659973,-0.6273253175043456,-0.6046631888480913,0.0409603389571647,0.9347075490658694,-0.9895172796833983,0.7675688762950978,-0.6844526079138291,0.9669906738742479,0.9607028337026433,1.0,0.0
0.68709456146135,-0.3186598442389011,-0.3880265035239625,-0.27896737239001546,-0.9368409719356232,-0.3045015338659973,-0.6190136938053558,-0.564529528915388,0.040878066324732676,0.9347075490658694,-0.9895172796833983,0.7675688762950978,-0.6844526079138291,0.9669906738742479,0.9610701129819909,1.0,0.0
0.68709456146135,-0.3186598442389011,-0.3880265035239625,-0.27896737239001546,-0.9368409719356232,-0.3045015338659973,-0.6107020701063658,-0.5249934146982848,0.0407976855349298,0.9347075490658694,-0.9895172796833983,0.7675688762950978,-0.6844526079138291,0.9669906738742479,0.961424205906569,1.0,0.0
0.68709456146135,-0.3186598442389011,-0.3880265035239625,-0.27896737239001546,-0.9368409719356232,-0.3045015338659973,-0.6023904464073759,-0.48603731333566313,0.04071918532678805,0.9347075490658694,-0.9895172796833983,0.7675688762950978,-0.6844526079138291,0.9669906738742479,0.9617664565320376,1.0,0.0
0.68709456146135,-0.3186598442389011,-0.3880265035239625,-0.27896737239001546,-0.9368409719356232,-0.3045015338659973,-0.5497501629804398,-0.2517613947119826,0.04026281207540938,0.9347075490658694,-0.9895172796833983,0.7675688762950978,-0.6844526079138291,0.9669906738742479,0.9637087499054888,1.0,0.0
0.68709456146135,-0.3186598442389011,-0.3880265035239625,-0.27896737239001546,-0.9368409719356232,-0.3045015338659973,-0.4804866321555239,0.028019235133084824,0.039753641775418944,0.9347075490658694,-0.9895172796833983,0.7675688762950978,-0.6844526079138291,0.9669906738742479,0.965778178526478,1.0,0.0
0.68709456146135,-0.3186598442389011,-0.3880265035239625,-0.27896737239001546,-0.9368409719356232,-0.3045015338659973,-0.4112231013306079,0.28111160061563606,0.03932790398756769,0.9347075490658694,-0.9895172796833983,0.7675688762950978,-0.6844526079138291,0.9669906738742479,0.9674258797350508,1.0,0.0
0.68709456146135,-0.3186598442389011,-0.3880265035239625,-0.27896737239001546,-0.9368409719356232,-0.3045015338659973,-0.34195957050569215,0.5121668275747195,0.03896940543982752,0.9347075490658694,-0.9895172796833983,0.7675688762950978,-0.6844526079138291,0.9669906738742479,0.9687596862402574,1.0,0.0
0.68709456146135,-0.3186598442389011,-0.3880265035239625,-0.27896737239001546,-0.9368409719356232,-0.3045015338659973,-0.27269603968077616,0.7247170322466074,0.03866566897962047,0.9347075490658694,-0.9895172796833983,0.7675688762950978,-0.6844526079138291,0.9669906738742479,0.9698550002950933,1.0,0.0
0.68709456146135,-0.3186598442389011,-0.3880265035239625,-0.27896737239001546,-0.9368409719356232,-0.3045015338659973,-0.20343250885586017,0.9215077844202743,0.038407145306056524,0.9347075490658694,-0.9895172796833983,0.7675688762950978,-0.6844526079138291,0.9669906738742479,0.9707645903282848,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.9982095071890399,-0.9999999999999993,0.09405910831585701,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.8201211098752325,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.9955046757475609,-0.9592504542892392,0.09378625506047404,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.8232989833904845,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.9927998443060818,-0.9191167943565356,0.0935189534623302,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.8263715647540699,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.9900950128646029,-0.8795806801394326,0.09325688821432061,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.8293407356439129,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.9873901814231238,-0.8406245787768108,0.09300018318709363,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.8322205794258428,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.9732220167296624,-0.6454127345588512,0.0917330089765392,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.8458803456610791,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.9701307807965434,-0.6046631888480911,0.09147273422244649,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.8485805885445008,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.9670395448634246,-0.5645295289153875,0.09121798860365683,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.8511992764679571,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.9639483089303057,-0.5249934146982848,0.09096825411564083,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.8537247219909254,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.9608570729971868,-0.4860373133356628,0.0907236208461427,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.8561709266671516,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.9412792454207672,-0.2517613947119826,0.08928113588528691,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.8701005909663723,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.9155189459781099,0.028019235133084824,0.08762095389046236,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.8845605319732566,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.8897586465354526,0.28111160061563606,0.08618149813000682,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.896143451715097,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.8639983470927952,0.51216682757472,0.08491820332293895,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.9055598413886928,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.8382380476501379,0.7247170322466083,0.08379873359955871,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.9133298037847328,1.0,0.0
-0.05119875946244323,0.48990141131407855,0.2883229321374179,-0.5947081500565384,-0.9700367991059526,-0.9958096246161126,-0.8124777482074805,0.9215077844202747,0.08279909183699276,0.8105150517417994,-0.9811231731964115,0.7881653762390103,-0.5509474819696303,0.7344838322869824,0.9198193603217781,1.0,0.0
0.30177171865052843,-0.5096384859973775,-0.9379227388228699,0.7897127009669263,-0.9526914739488587,0.6013117828212098,-0.3157803364654106,-0.9999999999999996,0.04656347008114964,0.9419116817410972,-0.9904739263689419,0.7635744100994651,-0.6729551213563043,0.9606976762519394,0.9590946886365187,1.0,0.0
0.30177171865052843,-0.5096384859973775,-0.9379227388228699,0.7897127009669263,-0.9526914739488587,0.6013117828212098,-0.30252247661067955,-0.9592504542892396,0.04641792206935332,0.9419116817410972,-0.9904739263689419,0.7635744100994651,-0.6729551213563043,0.9606976762519394,0.9593968294270445,1.0,0.0
0.30177171865052843,-0.5096384859973775,-0.9379227388228699,0.7897127009669263,-0.9526914739488587,0.6013117828212098,-0.2892646167559485,-0.9191167943565356,0.04627496408020406,0.9419116817410972,-0.9904739263689419,0.7635744100994651,-0.6729551213563043,0.9606976762519394,0.9596896597102641,1.0,0.0
0.30177171865052843,-0.5096384859973775,-0.9379227388228699,0.7897127009669263,-0.9526914739488587,0.6013117828212098,-0.27600675690121745,-0.8795806801394326,0.04613455106982972,0.9419116817410972,-0.9904739263689419,0.7635744100994651,-0.6729551213563043,0.9606976762519394,0.9599735958512462,1.0,0.0
0.30177171865052843,-0.5096384859973775,-0.9379227388228699,0.7897127009669263,-0.9526914739488587,0.6013117828212098,-0.2627488970464864,-0.8406245787768108,0.045996592950486075,0.9419116817410972,-0.9904739263689419,0.7635744100994651,-0.6729551213563043,0.9606976762519394,0.9602493873071142,1.0,0.0
