beta,rho,volvol,v_atm_n,alpha,F,K,log_moneyness,volatility,dV_dK,dV_dF,dV_dalpha,dV_dbeta,dV_drho,dV_dvolvol,volatility_scaled,dV_dbeta_scaled,dV_drho_scaled,dV_dvolvol_scaled,dV_dalpha_scaled,dV_dF_scaled,dV_dK_scaled
-0.7286954212041069,-0.0025871484072531215,-0.9112383853042038,0.7237350557167624,0.6503890932347307,0.4981776863577745,1.204086197928396,0.5416458971580609,1.3390359,-5.018883,-7.523125,4.7767844,-3.983059,0.11197877,0.070557036,0.09752301800608289,0.09308845801672677,0.01374220694927808,-0.1250122206372799,-0.11537608752701299,0.10767899712386027,0.13371541520428593
1.7161019312230186,0.0012927608028188327,0.5688571691023597,0.18833681488998344,-0.5570011427975645,0.857536518554862,-0.9835193564155155,-1.5459108295843271,0.2895799,-6.7523403,2.7715268,0.9207266,-0.51885253,-0.10272591,0.26416588,-0.553709787809346,0.3300806144386243,-0.8794929204483627,0.6039875301224639,-0.5393839781977916,0.2230243460999198,0.11617004546500602
-0.0820071226312449,0.14771349510482812,0.7340712741212733,0.0747027468568171,0.010670821061970143,-0.4647038790608449,-0.45242282812884965,0.017042165713710887,0.90776026,-4.1422887,-6.8002,4.0570574,-3.1231236,0.09624815,0.100750126,-0.17010215648150387,0.15191807645731786,-0.05170183628137659,-0.011325497293864357,-0.19451647985432918,0.11577893464758669,0.14258795628438362
0.6978245651303575,-0.048902463776688214,-1.2838657924431707,0.5639471897401008,-1.1837241806602121,-0.6030802524618961,-0.46687287561865654,0.12531263171528223,0.23397903,-0.57146657,-1.1375356,2.208682,-0.7994575,0.018711716,0.013546845,-0.5882125307312779,0.3108839592972805,-0.37427639079015007,-0.3396739797342217,-0.3977618136047093,0.17922566543961882,0.17873040671800722
-1.2846740143961217,0.501496260656708,-1.1676980925909435,-0.7353003255948841,1.6673106615702615,-0.1933163845638217,-0.9606060845967046,-0.8678032816128324,5.1329,-99.225784,-69.40533,18.883436,-29.375492,0.21602249,0.37938744,2.4517796640450085,-1.6440503371396005,0.4465949304629177,1.0378338709546462,1.4357758659897535,-0.5856736941379322,-0.8198096067485118
1.048237272666025,0.4685107576035683,1.2372918862254751,-0.38621567759886816,0.03816462964836417,1.462432341924183,0.7986707043883385,-0.14684585254313187,0.36779568,0.8060003,-1.6965066,1.6231179,-1.0086195,0.0103339255,0.04410888,-0.5051735158089551,0.2965748371791878,-0.4091304832327473,-0.22459805945389316,-0.4621498004480427,0.17296273335458248,0.19267258200998505
-0.4463740963070045,0.6201757526371207,1.1088247053206235,-0.9727516979286629,0.32971239848419065,-0.5700806742035804,-0.5617019872892587,-0.0111895600862363,1.45837,-7.7154045,-15.84594,5.9575505,-5.329089,0.14746523,0.21528353,0.17157498471308053,0.0010042952882371133,0.16137640206319587,0.41992971421736713,0.014459659083569847,0.014426887262487108,0.10642229022946384
-0.19048581351563745,-1.0532755164960872,0.5713789063187126,-0.8746460962112792,-1.6052388083645661,0.3503672470556919,0.5797127338377144,0.2752785980470449,0.19760849,-0.7601857,-0.80353105,3.1377075,-0.58253974,0.10096452,0.0071761617,-0.6107820227473532,0.32572366592383384,-0.03208033870710662,-0.3636616573729005,-0.29560718754221477,0.1829679844735993,0.17682026626474928
0.19409678580469494,1.6226319227378694,0.9507825307372195,-0.4997558960478399,-0.031587064863563136,1.5953971256915547,0.9389568799392507,-0.12237428773730989,0.5830772,2.1958606,-5.262427,2.7231877,-1.5891472,-0.004008293,0.054889563,-0.37158202811455876,0.2568599666375239,-0.4687983645710222,-0.18400531039528195,-0.34118733056789063,0.1330087513307466,0.206740198702618
-0.7427538242604783,-0.05185341711806377,0.48472859794388967,-0.2177077412370033,0.48316813023147753,-1.3018427998446944,-1.2924641414125755,-0.35116348201016423,2.751578,-54.851704,-47.936584,11.400043,-13.558526,0.36443758,0.21433519,0.9740664415659253,-0.5619852486831854,1.0640457090108388,0.4163589082079294,0.6129101711367172,-0.34512937583001413,-0.37067270534321867
-1.1144619602349488,0.2490658172630419,-0.39053490039086547,-0.006337773759524948,0.9323781034367558,0.5109170677172764,-0.08347600737953914,-0.3041055489957901,2.31701,-17.750957,-17.290367,8.277447,-8.5468645,0.13204813,0.17280556,0.7043982154015132,-0.21912910646785094,0.09723669498926456,0.25998645489611494,0.26955293635226696,-0.0017570439303525233,0.004846393811101109
-0.7117771624390569,-1.4981338670324673,0.5268873970625331,-1.1876113494827099,-0.10402888912962656,1.7289359677965621,0.7393963837348992,-0.2900820163562196,0.8983938,-6.512857,-0.58325243,4.019926,-2.4438183,0.08091211,-0.013855167,-0.17591444973282452,0.19839048776131962,-0.11550430972152388,-0.4428513940795886,-0.19859940791408306,0.18543607322390213,0.11859400078532621
-0.037717976640263426,1.3167072784008926,-1.282122357435699,-1.406900203408381,-0.3052620854204615,-0.08636490092489969,-0.344281377842958,-0.16737548840307104,0.6992273,-2.0379958,-5.158126,3.6684153,-2.3197436,0.009133816,0.051005386,-0.2995058710210335,0.20687864542889656,-0.41412329457772407,-0.1986304897331986,-0.23725113934176262,0.13417738097235837,0.16388677741498864
-0.5571637661291059,1.0134399424761693,-0.8832419093282904,-0.10361469174422815,-0.24600861323395212,-0.789007470516729,-0.5824299105725467,0.1782842714867803,1.2231351,-7.762846,-14.3875065,6.3153505,-4.4858723,0.06531334,0.16944957,0.02560156233738125,0.05869015950982212,-0.18039981785947642,0.24735006999237472,0.05380295504816992,0.03076775281909349,0.10594210611504346
1.1578306388574058,-0.35701948060288363,-1.2514420846322138,-0.06220604063468129,1.5624828538239184,0.3177270637503682,-0.9736068299066817,-1.2326799007221063,0.6182085,-2.943609,-0.2459346,1.5571332,-2.047281,-0.046433806,0.106032714,-0.3497815380788225,0.22551826742530628,-0.6453010775508476,0.008565150549508006,-0.46940540576172446,0.1892155155569782,0.154720518497176
1.0721793348323438,0.21233870145670092,-0.5468218253711989,-0.7632285581555969,-0.0771986575597148,-0.040960396557523225,-1.680415982560435,-3.112657579663676,0.502052,-17.61482,1.3902931,1.6085844,-1.4339145,-0.19374073,0.4862135,-0.42186166664895774,0.2674796951781826,-1.258141556974466,1.440068446120259,-0.46374788818393287,0.20754845762509117,0.006224318724622954
